,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,y
3681,39,technician,married,tertiary,no,94,yes,yes,unknown,16,may,813,1,yes
3701,33,management,married,tertiary,no,273,yes,no,unknown,16,may,803,1,yes
3702,42,admin,divorced,secondary,no,153,yes,no,unknown,16,may,844,1,yes
3708,31,self-employed,single,tertiary,no,144,yes,no,unknown,16,may,676,1,yes
3712,40,services,married,secondary,no,446,yes,no,unknown,16,may,1252,1,yes
3714,26,blue-collar,married,secondary,no,246,yes,no,unknown,16,may,1143,3,yes
3730,45,blue-collar,married,primary,no,804,yes,no,unknown,16,may,528,1,yes
3749,31,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,688,1,yes
3770,29,admin,single,secondary,no,163,yes,yes,unknown,16,may,803,1,yes
3804,27,technician,single,secondary,no,1742,yes,no,unknown,16,may,787,1,yes
3819,37,services,divorced,secondary,no,49,yes,no,unknown,16,may,619,2,yes
3829,40,blue-collar,married,primary,no,1758,yes,no,unknown,16,may,1230,3,yes
3830,33,blue-collar,single,secondary,no,-416,yes,no,unknown,16,may,767,2,yes
3835,24,technician,single,secondary,no,409,yes,no,unknown,16,may,912,1,yes
3840,24,blue-collar,married,primary,no,656,yes,no,unknown,16,may,894,1,yes
3876,50,admin,divorced,secondary,no,363,yes,no,unknown,16,may,1340,1,yes
3881,27,technician,single,tertiary,no,3706,yes,no,unknown,16,may,897,1,yes
3982,54,management,single,tertiary,no,4393,yes,no,unknown,16,may,1297,3,yes
3999,30,technician,single,secondary,no,863,yes,no,unknown,16,may,1193,5,yes
4035,34,blue-collar,married,primary,no,695,yes,yes,unknown,16,may,1064,4,yes
4042,37,management,single,secondary,no,792,yes,no,unknown,16,may,1187,4,yes
4090,41,admin,single,secondary,no,1020,yes,no,unknown,19,may,882,1,yes
4136,47,blue-collar,married,secondary,no,863,yes,no,unknown,19,may,943,2,yes
4185,31,admin,married,secondary,no,97,yes,no,unknown,19,may,607,1,yes
4200,31,blue-collar,married,secondary,no,754,yes,no,unknown,19,may,1022,4,yes
4271,43,services,divorced,secondary,no,1040,yes,no,unknown,19,may,552,3,yes
4313,37,management,divorced,tertiary,no,122,yes,no,unknown,19,may,1622,2,yes
4326,30,technician,single,tertiary,no,880,yes,yes,unknown,19,may,967,6,yes
4329,41,technician,married,secondary,no,501,yes,no,unknown,19,may,579,5,yes
4377,30,technician,single,tertiary,no,3291,yes,no,unknown,19,may,1218,3,yes
4402,36,blue-collar,married,secondary,no,4438,yes,no,unknown,20,may,446,1,yes
4416,35,blue-collar,divorced,secondary,no,0,yes,no,unknown,20,may,1205,1,yes
4427,29,services,single,secondary,no,271,yes,no,unknown,20,may,1882,2,yes
4431,35,blue-collar,married,primary,no,102,yes,no,unknown,20,may,1334,1,yes
4455,31,blue-collar,married,secondary,no,2,yes,no,unknown,20,may,182,2,yes
4509,35,services,married,secondary,no,4170,yes,no,unknown,20,may,1777,1,yes
4607,34,technician,single,secondary,no,85,yes,no,unknown,20,may,1182,4,yes
4634,31,admin,single,secondary,no,431,yes,yes,unknown,20,may,1045,1,yes
4640,44,technician,divorced,secondary,no,982,yes,no,unknown,20,may,650,3,yes
4675,36,blue-collar,married,primary,no,408,yes,yes,unknown,20,may,1063,2,yes
4682,39,technician,single,secondary,no,1022,yes,no,unknown,20,may,1410,2,yes
4719,35,blue-collar,married,unknown,no,4822,yes,no,unknown,20,may,843,2,yes
4753,41,blue-collar,married,primary,no,1250,yes,no,unknown,20,may,1392,2,yes
4765,31,blue-collar,married,secondary,no,3311,yes,no,unknown,20,may,719,1,yes
4813,31,blue-collar,single,primary,no,216,yes,no,unknown,21,may,565,1,yes
4818,34,blue-collar,married,secondary,no,1207,yes,no,unknown,21,may,905,1,yes
4835,32,technician,married,secondary,no,791,yes,no,unknown,21,may,783,2,yes
4866,36,management,married,tertiary,no,849,yes,yes,unknown,21,may,958,2,yes
4897,30,blue-collar,single,secondary,yes,239,yes,no,unknown,21,may,412,1,yes
4916,37,technician,single,secondary,no,1211,yes,no,unknown,21,may,795,1,yes
4941,54,management,divorced,tertiary,no,487,yes,no,unknown,21,may,828,4,yes
4948,36,blue-collar,married,primary,no,599,yes,no,unknown,21,may,649,2,yes
5003,31,management,single,tertiary,no,825,yes,no,unknown,21,may,506,2,yes
5024,27,technician,married,secondary,no,2183,yes,yes,unknown,21,may,857,1,yes
5034,34,retired,married,primary,no,4499,no,no,unknown,21,may,1681,1,yes
5052,32,services,single,secondary,no,-198,yes,no,unknown,21,may,681,3,yes
5055,30,technician,single,tertiary,no,1289,yes,no,unknown,21,may,1697,2,yes
5057,32,technician,single,tertiary,no,4665,yes,no,unknown,21,may,860,2,yes
5144,37,technician,single,secondary,no,3326,yes,no,unknown,21,may,799,1,yes
5162,38,blue-collar,married,secondary,no,622,yes,no,unknown,21,may,611,2,yes
5174,32,blue-collar,married,secondary,no,783,yes,no,unknown,21,may,923,3,yes
5194,33,blue-collar,married,secondary,no,0,yes,no,unknown,21,may,521,3,yes
5236,35,blue-collar,married,primary,no,994,yes,no,unknown,23,may,1349,8,yes
5251,35,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,may,736,2,yes
5276,30,blue-collar,single,secondary,no,239,yes,no,unknown,23,may,785,1,yes
5283,30,blue-collar,married,secondary,no,278,yes,yes,unknown,23,may,1073,1,yes
5342,34,blue-collar,married,secondary,no,2495,yes,no,unknown,23,may,924,1,yes
5470,45,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,1030,1,yes
5483,45,admin,married,secondary,no,149,yes,no,unknown,23,may,893,3,yes
5499,33,blue-collar,married,secondary,no,1464,yes,no,unknown,23,may,588,3,yes
5515,33,blue-collar,divorced,secondary,no,3546,yes,no,unknown,23,may,777,2,yes
5542,44,management,divorced,tertiary,no,5773,no,no,unknown,23,may,597,6,yes
5546,40,blue-collar,married,primary,no,278,yes,no,unknown,23,may,1015,3,yes
5575,31,blue-collar,married,secondary,no,2910,yes,no,unknown,23,may,1392,2,yes
5669,30,technician,married,tertiary,no,541,yes,no,unknown,26,may,414,2,yes
5705,44,technician,divorced,secondary,no,1262,yes,no,unknown,26,may,788,11,yes
5741,34,services,married,secondary,no,-538,yes,no,unknown,26,may,682,1,yes
5768,31,admin,single,secondary,no,747,yes,no,unknown,26,may,543,2,yes
5783,45,blue-collar,married,secondary,no,61,yes,no,unknown,26,may,745,4,yes
5803,37,blue-collar,married,secondary,no,125,no,no,unknown,26,may,679,2,yes
5846,28,self-employed,single,tertiary,no,0,yes,no,unknown,26,may,1560,2,yes
5856,32,admin,single,secondary,no,620,yes,no,unknown,26,may,1234,3,yes
5866,37,blue-collar,divorced,secondary,no,316,yes,no,unknown,26,may,642,2,yes
5888,34,management,married,tertiary,no,2287,yes,no,unknown,26,may,895,4,yes
5932,38,admin,divorced,secondary,no,198,yes,no,unknown,26,may,431,2,yes
5938,28,admin,single,secondary,no,460,yes,no,unknown,26,may,741,6,yes
5959,31,management,divorced,tertiary,no,1145,yes,no,unknown,26,may,1272,4,yes
5973,30,services,married,secondary,no,129,yes,no,unknown,26,may,1446,7,yes
5976,30,admin,married,secondary,no,1265,yes,yes,unknown,26,may,414,2,yes
6005,59,services,married,secondary,no,-22,yes,no,unknown,26,may,748,3,yes
6006,24,blue-collar,married,secondary,no,685,yes,no,unknown,26,may,896,3,yes
6021,26,services,single,secondary,no,901,yes,no,unknown,26,may,764,2,yes
6112,59,retired,single,secondary,no,351,yes,no,unknown,27,may,1063,5,yes
6141,53,technician,married,secondary,no,-725,yes,no,unknown,27,may,1205,1,yes
6162,30,entrepreneur,single,primary,no,0,yes,yes,unknown,27,may,1051,1,yes
6184,28,management,single,tertiary,no,939,yes,no,unknown,27,may,740,1,yes
6270,37,admin,married,secondary,no,274,yes,no,unknown,27,may,731,3,yes
6312,24,self-employed,single,tertiary,no,2984,yes,no,unknown,27,may,935,1,yes
6337,30,admin,single,secondary,no,-213,yes,yes,unknown,27,may,751,1,yes
6391,25,blue-collar,married,secondary,no,97,yes,no,unknown,27,may,709,1,yes
6451,44,services,divorced,secondary,no,51,yes,yes,unknown,27,may,3094,2,yes
6598,29,management,married,tertiary,no,314,no,no,unknown,28,may,938,2,yes
6626,26,management,single,tertiary,no,6840,yes,no,unknown,28,may,1560,2,yes
6631,26,technician,single,secondary,no,668,yes,no,unknown,28,may,576,3,yes
6683,27,services,single,secondary,no,54,yes,no,unknown,28,may,543,2,yes
6751,25,self-employed,single,secondary,no,1242,yes,no,unknown,28,may,615,2,yes
6773,28,management,married,secondary,no,292,yes,no,unknown,28,may,507,1,yes
6774,23,services,single,secondary,no,665,yes,no,unknown,28,may,1183,1,yes
6800,27,blue-collar,single,secondary,no,294,yes,yes,unknown,28,may,694,2,yes
6821,23,technician,single,tertiary,no,1129,yes,no,unknown,28,may,806,1,yes
6823,46,technician,married,secondary,no,57,no,no,unknown,28,may,796,1,yes
6838,23,student,single,unknown,no,854,yes,no,unknown,28,may,664,2,yes
6854,57,retired,married,tertiary,no,0,yes,yes,unknown,28,may,648,1,yes
6874,34,management,single,tertiary,no,1058,yes,no,unknown,28,may,864,2,yes
6918,28,student,single,secondary,no,949,yes,no,unknown,28,may,1730,1,yes
7048,51,entrepreneur,married,unknown,no,606,yes,no,unknown,28,may,560,9,yes
7090,35,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,543,1,yes
7123,35,admin,married,secondary,no,404,yes,no,unknown,29,may,539,1,yes
7145,27,blue-collar,single,secondary,no,2486,yes,no,unknown,29,may,733,1,yes
7164,56,blue-collar,married,secondary,no,249,yes,no,unknown,29,may,791,2,yes
7191,45,unemployed,divorced,secondary,no,3354,yes,no,unknown,29,may,746,1,yes
7242,60,blue-collar,divorced,secondary,no,0,yes,no,unknown,29,may,1207,1,yes
7281,56,technician,married,secondary,no,589,yes,no,unknown,29,may,535,2,yes
7324,33,blue-collar,single,primary,no,127,yes,no,unknown,29,may,1059,2,yes
7334,27,management,single,tertiary,no,12956,yes,no,unknown,29,may,789,3,yes
7348,30,admin,married,secondary,no,873,yes,no,unknown,29,may,792,3,yes
7379,45,blue-collar,divorced,primary,no,594,yes,no,unknown,29,may,833,2,yes
7457,29,blue-collar,single,secondary,no,-20,yes,no,unknown,29,may,814,2,yes
7460,38,management,divorced,tertiary,no,4692,yes,no,unknown,29,may,1363,2,yes
7464,34,blue-collar,married,primary,no,1031,yes,no,unknown,29,may,751,3,yes
7480,30,blue-collar,married,secondary,no,486,yes,no,unknown,29,may,1109,3,yes
7481,44,blue-collar,single,primary,no,1593,yes,no,unknown,29,may,828,3,yes
7543,36,management,single,tertiary,no,7606,yes,no,unknown,30,may,917,1,yes
7555,40,technician,single,secondary,no,5637,yes,no,unknown,30,may,553,3,yes
7590,38,technician,married,secondary,no,226,yes,no,unknown,30,may,762,3,yes
7611,36,blue-collar,single,secondary,no,366,yes,yes,unknown,30,may,1133,2,yes
7632,37,management,divorced,secondary,no,16,yes,no,unknown,30,may,638,1,yes
7635,35,management,single,tertiary,no,565,yes,no,unknown,30,may,763,1,yes
7637,48,technician,married,secondary,yes,0,no,no,unknown,30,may,682,1,yes
7659,38,admin,divorced,secondary,no,19,yes,no,unknown,30,may,604,2,yes
7666,40,services,married,primary,no,1082,yes,no,unknown,30,may,854,2,yes
7668,42,unemployed,divorced,secondary,no,1713,yes,no,unknown,30,may,855,2,yes
7674,46,management,divorced,tertiary,no,14481,yes,no,unknown,30,may,1269,1,yes
7728,35,technician,divorced,secondary,no,5724,yes,no,unknown,30,may,691,10,yes
7732,34,technician,divorced,secondary,no,1451,yes,no,unknown,30,may,1097,15,yes
7739,29,self-employed,single,tertiary,no,121,yes,no,unknown,30,may,1500,2,yes
7744,32,services,married,secondary,no,-34,yes,no,unknown,30,may,1236,2,yes
7763,50,unemployed,married,secondary,no,3674,yes,no,unknown,30,may,886,3,yes
7767,35,blue-collar,married,secondary,no,698,yes,yes,unknown,30,may,1343,3,yes
7795,36,technician,single,secondary,no,4136,yes,no,unknown,30,may,812,3,yes
7811,53,blue-collar,divorced,primary,no,2656,yes,no,unknown,30,may,1980,2,yes
7821,32,technician,single,secondary,no,562,yes,no,unknown,30,may,722,3,yes
7851,46,management,single,tertiary,no,2904,yes,no,unknown,30,may,984,2,yes
7866,26,management,single,tertiary,no,1004,yes,no,unknown,30,may,228,2,yes
7914,45,technician,single,secondary,no,410,yes,no,unknown,30,may,891,4,yes
7916,31,unemployed,divorced,primary,no,0,yes,no,unknown,30,may,745,12,yes
7922,29,management,single,tertiary,no,0,yes,no,unknown,30,may,539,12,yes
7926,53,entrepreneur,single,secondary,no,62,yes,no,unknown,30,may,1044,5,yes
7953,27,blue-collar,married,primary,no,416,yes,no,unknown,30,may,1193,2,yes
8014,39,management,married,tertiary,no,2763,yes,no,unknown,2,jun,526,2,yes
8017,36,services,married,secondary,no,2984,yes,no,unknown,2,jun,394,1,yes
8021,41,blue-collar,married,primary,no,143,yes,yes,unknown,2,jun,659,2,yes
8034,36,services,married,primary,no,0,yes,no,unknown,2,jun,1036,1,yes
8082,32,technician,married,secondary,no,696,yes,no,unknown,2,jun,815,1,yes
8084,35,services,married,secondary,no,152,yes,no,unknown,2,jun,563,1,yes
8139,36,management,single,tertiary,no,-78,yes,no,unknown,2,jun,1068,1,yes
8160,35,management,married,tertiary,no,867,yes,no,unknown,2,jun,230,3,yes
8186,30,blue-collar,single,secondary,no,953,yes,no,unknown,2,jun,747,2,yes
8213,42,blue-collar,married,secondary,no,443,yes,no,unknown,2,jun,671,5,yes
8218,42,technician,single,secondary,yes,-1129,yes,no,unknown,2,jun,555,5,yes
8267,32,blue-collar,married,primary,no,415,yes,no,unknown,2,jun,777,4,yes
8340,40,unemployed,married,secondary,no,1960,yes,no,unknown,2,jun,605,6,yes
8344,29,blue-collar,single,secondary,no,260,yes,no,unknown,2,jun,707,14,yes
8345,44,management,divorced,tertiary,yes,-411,yes,no,unknown,2,jun,432,4,yes
8383,32,technician,single,secondary,no,1279,yes,no,unknown,3,jun,1173,3,yes
8392,31,unemployed,married,secondary,no,86,yes,yes,unknown,3,jun,963,2,yes
8442,40,self-employed,married,secondary,yes,-754,yes,yes,unknown,3,jun,941,3,yes
8459,43,entrepreneur,married,secondary,no,0,no,no,unknown,3,jun,1025,7,yes
8489,27,management,single,secondary,no,178,yes,no,unknown,3,jun,732,2,yes
8522,37,services,single,secondary,no,278,yes,no,unknown,3,jun,1045,3,yes
8559,23,services,single,secondary,no,425,yes,no,unknown,3,jun,768,1,yes
8564,25,management,married,primary,no,168,yes,no,unknown,3,jun,801,1,yes
8570,26,blue-collar,single,secondary,yes,-36,yes,no,unknown,3,jun,482,2,yes
8572,47,blue-collar,divorced,primary,no,126,yes,no,unknown,3,jun,2456,2,yes
8628,45,services,single,primary,no,1893,yes,no,unknown,3,jun,1259,6,yes
8646,35,admin,married,secondary,no,-87,yes,no,unknown,3,jun,1363,7,yes
8706,32,technician,single,tertiary,no,6281,yes,no,unknown,3,jun,1336,4,yes
8718,45,management,divorced,secondary,no,644,yes,no,unknown,4,jun,633,1,yes
8731,24,blue-collar,married,secondary,no,-389,yes,yes,unknown,4,jun,1242,1,yes
8744,30,admin,divorced,secondary,no,377,yes,no,unknown,4,jun,524,15,yes
8745,33,blue-collar,single,secondary,no,76,yes,no,unknown,4,jun,1141,4,yes
8755,29,services,single,secondary,no,-271,yes,no,unknown,4,jun,578,1,yes
8760,38,blue-collar,married,primary,no,5839,yes,no,unknown,4,jun,984,2,yes
8787,23,blue-collar,single,secondary,no,492,yes,no,unknown,4,jun,638,1,yes
8811,27,management,single,tertiary,no,99,yes,no,unknown,4,jun,767,2,yes
8817,27,management,single,tertiary,yes,-713,yes,no,unknown,4,jun,525,2,yes
8821,29,services,single,secondary,no,32,yes,no,unknown,4,jun,563,1,yes
8832,30,self-employed,married,tertiary,no,543,yes,yes,unknown,4,jun,1449,6,yes
8834,36,blue-collar,married,primary,no,403,yes,no,unknown,4,jun,920,1,yes
8884,27,blue-collar,married,secondary,no,419,yes,no,unknown,4,jun,1181,2,yes
8889,35,admin,divorced,secondary,no,437,yes,no,unknown,4,jun,908,1,yes
8976,50,unemployed,married,primary,no,705,no,no,unknown,5,jun,504,1,yes
9011,36,blue-collar,married,secondary,no,1772,no,no,unknown,5,jun,208,1,yes
9025,59,retired,married,secondary,no,0,no,no,unknown,5,jun,812,1,yes
9040,59,retired,divorced,primary,no,-88,yes,no,unknown,5,jun,910,2,yes
9044,47,entrepreneur,married,secondary,no,0,no,no,unknown,5,jun,1446,1,yes
9049,58,entrepreneur,married,tertiary,no,853,no,no,unknown,5,jun,1149,2,yes
9069,37,management,single,tertiary,no,240,no,no,unknown,5,jun,1123,1,yes
9087,46,admin,single,secondary,no,849,yes,no,unknown,5,jun,508,2,yes
9104,43,blue-collar,single,secondary,no,318,yes,no,unknown,5,jun,736,2,yes
9107,27,management,single,tertiary,no,703,yes,no,unknown,5,jun,590,3,yes
9123,38,services,divorced,secondary,no,61,no,no,unknown,5,jun,636,1,yes
9134,53,housemaid,married,primary,no,104,no,yes,unknown,5,jun,701,1,yes
9143,47,blue-collar,married,secondary,no,1996,no,no,unknown,5,jun,761,2,yes
9144,56,housemaid,divorced,primary,yes,1238,no,no,unknown,5,jun,1558,1,yes
9145,41,housemaid,married,secondary,no,879,no,no,unknown,5,jun,1053,2,yes
9148,29,self-employed,married,secondary,no,425,yes,no,unknown,5,jun,562,15,yes
9205,35,self-employed,married,secondary,no,188,yes,yes,unknown,5,jun,1865,2,yes
9209,38,admin,single,secondary,no,3239,no,no,unknown,5,jun,817,2,yes
9237,50,technician,married,secondary,no,416,yes,no,unknown,5,jun,494,5,yes
9242,45,blue-collar,divorced,primary,no,844,no,no,unknown,5,jun,1018,3,yes
9265,35,blue-collar,married,secondary,no,860,yes,no,unknown,5,jun,884,4,yes
9319,35,housemaid,single,secondary,no,1015,yes,no,unknown,5,jun,406,2,yes
9340,39,self-employed,married,tertiary,no,1047,no,no,unknown,6,jun,554,1,yes
9380,26,technician,single,secondary,no,639,yes,no,unknown,6,jun,709,5,yes
9381,26,admin,married,secondary,no,710,yes,yes,unknown,6,jun,1276,2,yes
9389,37,blue-collar,married,unknown,no,1508,no,yes,unknown,6,jun,381,2,yes
9434,30,admin,single,secondary,no,223,yes,no,unknown,6,jun,862,11,yes
9441,38,management,single,tertiary,no,619,yes,no,unknown,6,jun,460,4,yes
9442,28,technician,single,secondary,yes,-1042,yes,no,unknown,6,jun,712,2,yes
9453,54,self-employed,divorced,primary,no,351,yes,no,unknown,6,jun,642,2,yes
9476,41,blue-collar,married,primary,no,1461,yes,no,unknown,6,jun,554,2,yes
9492,37,services,divorced,secondary,no,319,yes,no,unknown,6,jun,467,3,yes
9499,53,technician,married,secondary,no,480,no,no,unknown,6,jun,648,2,yes
9515,29,blue-collar,single,primary,no,213,yes,no,unknown,6,jun,2653,3,yes
9578,35,management,single,tertiary,no,68,no,no,unknown,6,jun,1085,1,yes
9581,47,admin,divorced,secondary,no,295,yes,no,unknown,6,jun,94,2,yes
9647,28,blue-collar,married,secondary,no,2788,yes,no,unknown,6,jun,369,2,yes
9671,36,self-employed,married,secondary,no,1245,yes,no,unknown,6,jun,1469,9,yes
9691,55,blue-collar,married,unknown,no,7561,no,no,unknown,6,jun,685,3,yes
9774,49,management,divorced,secondary,no,-46,yes,no,unknown,9,jun,1055,10,yes
9799,50,services,married,secondary,no,1595,no,no,unknown,9,jun,882,1,yes
9825,43,management,single,tertiary,no,1046,no,no,unknown,9,jun,901,1,yes
9836,58,self-employed,divorced,tertiary,no,1382,no,no,unknown,9,jun,700,1,yes
9888,38,technician,married,primary,no,217,yes,no,unknown,9,jun,491,6,yes
9900,48,blue-collar,divorced,primary,no,183,no,no,unknown,9,jun,940,1,yes
