,age,job,marital,education,default,balance,housing,loan,month,duration,campaign,cluster
90,60,services,single,primary,no,313,yes,no,may,920,2,1
91,29,management,married,tertiary,no,10576,no,no,may,1224,2,0
92,41,retired,divorced,primary,no,-233,yes,no,may,1156,2,1
93,41,blue-collar,married,primary,no,2453,yes,no,may,1052,1,1
94,42,technician,single,secondary,no,1364,yes,no,may,1867,6,1
95,46,blue-collar,married,secondary,no,668,yes,no,may,1263,2,1
96,32,services,single,secondary,no,772,yes,no,may,697,3,1
97,36,services,single,unknown,no,281,yes,no,may,515,1,1
98,39,technician,married,tertiary,no,94,yes,yes,may,813,1,0
99,33,management,married,tertiary,no,273,yes,no,may,803,1,0
100,42,admin,divorced,secondary,no,153,yes,no,may,844,1,1
101,31,self-employed,single,tertiary,no,144,yes,no,may,676,1,0
102,40,services,married,secondary,no,446,yes,no,may,1252,1,1
103,26,blue-collar,married,secondary,no,246,yes,no,may,1143,3,1
104,45,blue-collar,married,primary,no,804,yes,no,may,528,1,1
105,31,blue-collar,married,secondary,no,92,yes,no,may,688,1,1
106,29,admin,single,secondary,no,163,yes,yes,may,803,1,1
107,27,technician,single,secondary,no,1742,yes,no,may,787,1,1
108,37,services,divorced,secondary,no,49,yes,no,may,619,2,1
109,40,blue-collar,married,primary,no,1758,yes,no,may,1230,3,1
110,33,blue-collar,single,secondary,no,-416,yes,no,may,767,2,1
111,24,technician,single,secondary,no,409,yes,no,may,912,1,1
112,24,blue-collar,married,primary,no,656,yes,no,may,894,1,1
113,50,admin,divorced,secondary,no,363,yes,no,may,1340,1,1
114,27,technician,single,tertiary,no,3706,yes,no,may,897,1,0
115,54,management,single,tertiary,no,4393,yes,no,may,1297,3,0
116,30,technician,single,secondary,no,863,yes,no,may,1193,5,1
117,34,blue-collar,married,primary,no,695,yes,yes,may,1064,4,1
118,37,management,single,secondary,no,792,yes,no,may,1187,4,1
119,41,admin,single,secondary,no,1020,yes,no,may,882,1,1
120,47,blue-collar,married,secondary,no,863,yes,no,may,943,2,1
121,31,admin,married,secondary,no,97,yes,no,may,607,1,1
122,31,blue-collar,married,secondary,no,754,yes,no,may,1022,4,1
123,43,services,divorced,secondary,no,1040,yes,no,may,552,3,1
124,37,management,divorced,tertiary,no,122,yes,no,may,1622,2,0
125,30,technician,single,tertiary,no,880,yes,yes,may,967,6,0
126,41,technician,married,secondary,no,501,yes,no,may,579,5,1
127,30,technician,single,tertiary,no,3291,yes,no,may,1218,3,0
128,36,blue-collar,married,secondary,no,4438,yes,no,may,446,1,1
129,35,blue-collar,divorced,secondary,no,0,yes,no,may,1205,1,1
130,29,services,single,secondary,no,271,yes,no,may,1882,2,1
131,35,blue-collar,married,primary,no,102,yes,no,may,1334,1,1
132,31,blue-collar,married,secondary,no,2,yes,no,may,182,2,1
133,35,services,married,secondary,no,4170,yes,no,may,1777,1,1
134,34,technician,single,secondary,no,85,yes,no,may,1182,4,1
135,31,admin,single,secondary,no,431,yes,yes,may,1045,1,1
136,44,technician,divorced,secondary,no,982,yes,no,may,650,3,1
137,36,blue-collar,married,primary,no,408,yes,yes,may,1063,2,1
138,39,technician,single,secondary,no,1022,yes,no,may,1410,2,1
139,35,blue-collar,married,unknown,no,4822,yes,no,may,843,2,1
140,41,blue-collar,married,primary,no,1250,yes,no,may,1392,2,1
141,31,blue-collar,married,secondary,no,3311,yes,no,may,719,1,1
142,31,blue-collar,single,primary,no,216,yes,no,may,565,1,1
143,34,blue-collar,married,secondary,no,1207,yes,no,may,905,1,1
144,32,technician,married,secondary,no,791,yes,no,may,783,2,1
145,36,management,married,tertiary,no,849,yes,yes,may,958,2,0
146,30,blue-collar,single,secondary,yes,239,yes,no,may,412,1,1
147,37,technician,single,secondary,no,1211,yes,no,may,795,1,1
148,54,management,divorced,tertiary,no,487,yes,no,may,828,4,0
149,36,blue-collar,married,primary,no,599,yes,no,may,649,2,1
150,31,management,single,tertiary,no,825,yes,no,may,506,2,0
151,27,technician,married,secondary,no,2183,yes,yes,may,857,1,1
152,34,retired,married,primary,no,4499,no,no,may,1681,1,1
153,32,services,single,secondary,no,-198,yes,no,may,681,3,1
154,30,technician,single,tertiary,no,1289,yes,no,may,1697,2,0
155,32,technician,single,tertiary,no,4665,yes,no,may,860,2,0
156,37,technician,single,secondary,no,3326,yes,no,may,799,1,1
157,38,blue-collar,married,secondary,no,622,yes,no,may,611,2,1
158,32,blue-collar,married,secondary,no,783,yes,no,may,923,3,1
159,33,blue-collar,married,secondary,no,0,yes,no,may,521,3,1
160,35,blue-collar,married,primary,no,994,yes,no,may,1349,8,1
161,35,self-employed,divorced,tertiary,no,1354,yes,no,may,736,2,0
162,30,blue-collar,single,secondary,no,239,yes,no,may,785,1,1
163,30,blue-collar,married,secondary,no,278,yes,yes,may,1073,1,1
164,34,blue-collar,married,secondary,no,2495,yes,no,may,924,1,1
165,45,blue-collar,divorced,primary,no,-311,yes,no,may,1030,1,1
166,45,admin,married,secondary,no,149,yes,no,may,893,3,1
167,33,blue-collar,married,secondary,no,1464,yes,no,may,588,3,1
168,33,blue-collar,divorced,secondary,no,3546,yes,no,may,777,2,1
169,44,management,divorced,tertiary,no,5773,no,no,may,597,6,0
170,40,blue-collar,married,primary,no,278,yes,no,may,1015,3,1
171,31,blue-collar,married,secondary,no,2910,yes,no,may,1392,2,1
172,30,technician,married,tertiary,no,541,yes,no,may,414,2,0
173,44,technician,divorced,secondary,no,1262,yes,no,may,788,11,1
174,34,services,married,secondary,no,-538,yes,no,may,682,1,1
175,31,admin,single,secondary,no,747,yes,no,may,543,2,1
176,45,blue-collar,married,secondary,no,61,yes,no,may,745,4,1
177,37,blue-collar,married,secondary,no,125,no,no,may,679,2,1
178,28,self-employed,single,tertiary,no,0,yes,no,may,1560,2,0
179,32,admin,single,secondary,no,620,yes,no,may,1234,3,1
180,37,blue-collar,divorced,secondary,no,316,yes,no,may,642,2,1
181,34,management,married,tertiary,no,2287,yes,no,may,895,4,0
182,38,admin,divorced,secondary,no,198,yes,no,may,431,2,1
183,28,admin,single,secondary,no,460,yes,no,may,741,6,1
184,31,management,divorced,tertiary,no,1145,yes,no,may,1272,4,0
185,30,services,married,secondary,no,129,yes,no,may,1446,7,1
186,30,admin,married,secondary,no,1265,yes,yes,may,414,2,1
187,59,services,married,secondary,no,-22,yes,no,may,748,3,1
188,24,blue-collar,married,secondary,no,685,yes,no,may,896,3,1
189,26,services,single,secondary,no,901,yes,no,may,764,2,1
190,59,retired,single,secondary,no,351,yes,no,may,1063,5,1
191,53,technician,married,secondary,no,-725,yes,no,may,1205,1,1
192,30,entrepreneur,single,primary,no,0,yes,yes,may,1051,1,1
193,28,management,single,tertiary,no,939,yes,no,may,740,1,0
194,37,admin,married,secondary,no,274,yes,no,may,731,3,1
195,24,self-employed,single,tertiary,no,2984,yes,no,may,935,1,0
196,30,admin,single,secondary,no,-213,yes,yes,may,751,1,1
197,25,blue-collar,married,secondary,no,97,yes,no,may,709,1,1
198,44,services,divorced,secondary,no,51,yes,yes,may,3094,2,1
199,29,management,married,tertiary,no,314,no,no,may,938,2,0
200,26,management,single,tertiary,no,6840,yes,no,may,1560,2,0
201,26,technician,single,secondary,no,668,yes,no,may,576,3,1
202,27,services,single,secondary,no,54,yes,no,may,543,2,1
203,25,self-employed,single,secondary,no,1242,yes,no,may,615,2,1
204,28,management,married,secondary,no,292,yes,no,may,507,1,1
205,23,services,single,secondary,no,665,yes,no,may,1183,1,1
206,27,blue-collar,single,secondary,no,294,yes,yes,may,694,2,1
207,23,technician,single,tertiary,no,1129,yes,no,may,806,1,0
208,46,technician,married,secondary,no,57,no,no,may,796,1,1
209,23,student,single,unknown,no,854,yes,no,may,664,2,1
210,57,retired,married,tertiary,no,0,yes,yes,may,648,1,0
211,34,management,single,tertiary,no,1058,yes,no,may,864,2,0
212,28,student,single,secondary,no,949,yes,no,may,1730,1,1
213,51,entrepreneur,married,unknown,no,606,yes,no,may,560,9,1
214,35,blue-collar,married,secondary,no,0,yes,yes,may,543,1,1
215,35,admin,married,secondary,no,404,yes,no,may,539,1,1
216,27,blue-collar,single,secondary,no,2486,yes,no,may,733,1,1
217,56,blue-collar,married,secondary,no,249,yes,no,may,791,2,1
218,45,unemployed,divorced,secondary,no,3354,yes,no,may,746,1,1
219,60,blue-collar,divorced,secondary,no,0,yes,no,may,1207,1,1
220,56,technician,married,secondary,no,589,yes,no,may,535,2,1
221,33,blue-collar,single,primary,no,127,yes,no,may,1059,2,1
222,27,management,single,tertiary,no,12956,yes,no,may,789,3,0
223,30,admin,married,secondary,no,873,yes,no,may,792,3,1
224,45,blue-collar,divorced,primary,no,594,yes,no,may,833,2,1
225,29,blue-collar,single,secondary,no,-20,yes,no,may,814,2,1
226,38,management,divorced,tertiary,no,4692,yes,no,may,1363,2,0
227,34,blue-collar,married,primary,no,1031,yes,no,may,751,3,1
228,30,blue-collar,married,secondary,no,486,yes,no,may,1109,3,1
229,44,blue-collar,single,primary,no,1593,yes,no,may,828,3,1
230,36,management,single,tertiary,no,7606,yes,no,may,917,1,0
231,40,technician,single,secondary,no,5637,yes,no,may,553,3,1
232,38,technician,married,secondary,no,226,yes,no,may,762,3,1
233,36,blue-collar,single,secondary,no,366,yes,yes,may,1133,2,1
234,37,management,divorced,secondary,no,16,yes,no,may,638,1,1
235,35,management,single,tertiary,no,565,yes,no,may,763,1,0
236,48,technician,married,secondary,yes,0,no,no,may,682,1,1
237,38,admin,divorced,secondary,no,19,yes,no,may,604,2,1
238,40,services,married,primary,no,1082,yes,no,may,854,2,1
239,42,unemployed,divorced,secondary,no,1713,yes,no,may,855,2,1
240,46,management,divorced,tertiary,no,14481,yes,no,may,1269,1,0
241,35,technician,divorced,secondary,no,5724,yes,no,may,691,10,1
242,34,technician,divorced,secondary,no,1451,yes,no,may,1097,15,1
243,29,self-employed,single,tertiary,no,121,yes,no,may,1500,2,0
244,32,services,married,secondary,no,-34,yes,no,may,1236,2,1
245,50,unemployed,married,secondary,no,3674,yes,no,may,886,3,1
246,35,blue-collar,married,secondary,no,698,yes,yes,may,1343,3,1
247,36,technician,single,secondary,no,4136,yes,no,may,812,3,1
248,53,blue-collar,divorced,primary,no,2656,yes,no,may,1980,2,1
249,32,technician,single,secondary,no,562,yes,no,may,722,3,1
250,46,management,single,tertiary,no,2904,yes,no,may,984,2,0
251,26,management,single,tertiary,no,1004,yes,no,may,228,2,0
252,45,technician,single,secondary,no,410,yes,no,may,891,4,1
253,31,unemployed,divorced,primary,no,0,yes,no,may,745,12,1
254,29,management,single,tertiary,no,0,yes,no,may,539,12,0
255,53,entrepreneur,single,secondary,no,62,yes,no,may,1044,5,1
256,27,blue-collar,married,primary,no,416,yes,no,may,1193,2,1
257,39,management,married,tertiary,no,2763,yes,no,jun,526,2,0
258,36,services,married,secondary,no,2984,yes,no,jun,394,1,1
259,41,blue-collar,married,primary,no,143,yes,yes,jun,659,2,1
260,36,services,married,primary,no,0,yes,no,jun,1036,1,1
261,32,technician,married,secondary,no,696,yes,no,jun,815,1,1
262,35,services,married,secondary,no,152,yes,no,jun,563,1,1
263,36,management,single,tertiary,no,-78,yes,no,jun,1068,1,0
264,35,management,married,tertiary,no,867,yes,no,jun,230,3,0
265,30,blue-collar,single,secondary,no,953,yes,no,jun,747,2,1
266,42,blue-collar,married,secondary,no,443,yes,no,jun,671,5,1
267,42,technician,single,secondary,yes,-1129,yes,no,jun,555,5,1
268,32,blue-collar,married,primary,no,415,yes,no,jun,777,4,1
269,40,unemployed,married,secondary,no,1960,yes,no,jun,605,6,1
270,29,blue-collar,single,secondary,no,260,yes,no,jun,707,14,1
271,44,management,divorced,tertiary,yes,-411,yes,no,jun,432,4,0
272,32,technician,single,secondary,no,1279,yes,no,jun,1173,3,1
273,31,unemployed,married,secondary,no,86,yes,yes,jun,963,2,1
274,40,self-employed,married,secondary,yes,-754,yes,yes,jun,941,3,1
275,43,entrepreneur,married,secondary,no,0,no,no,jun,1025,7,1
276,27,management,single,secondary,no,178,yes,no,jun,732,2,1
277,37,services,single,secondary,no,278,yes,no,jun,1045,3,1
278,23,services,single,secondary,no,425,yes,no,jun,768,1,1
279,25,management,married,primary,no,168,yes,no,jun,801,1,1
280,26,blue-collar,single,secondary,yes,-36,yes,no,jun,482,2,1
281,47,blue-collar,divorced,primary,no,126,yes,no,jun,2456,2,1
282,45,services,single,primary,no,1893,yes,no,jun,1259,6,1
283,35,admin,married,secondary,no,-87,yes,no,jun,1363,7,1
284,32,technician,single,tertiary,no,6281,yes,no,jun,1336,4,0
285,45,management,divorced,secondary,no,644,yes,no,jun,633,1,1
286,24,blue-collar,married,secondary,no,-389,yes,yes,jun,1242,1,1
287,30,admin,divorced,secondary,no,377,yes,no,jun,524,15,1
288,33,blue-collar,single,secondary,no,76,yes,no,jun,1141,4,1
289,29,services,single,secondary,no,-271,yes,no,jun,578,1,1
290,38,blue-collar,married,primary,no,5839,yes,no,jun,984,2,1
291,23,blue-collar,single,secondary,no,492,yes,no,jun,638,1,1
292,27,management,single,tertiary,no,99,yes,no,jun,767,2,0
293,27,management,single,tertiary,yes,-713,yes,no,jun,525,2,0
294,29,services,single,secondary,no,32,yes,no,jun,563,1,1
295,30,self-employed,married,tertiary,no,543,yes,yes,jun,1449,6,0
296,36,blue-collar,married,primary,no,403,yes,no,jun,920,1,1
297,27,blue-collar,married,secondary,no,419,yes,no,jun,1181,2,1
298,35,admin,divorced,secondary,no,437,yes,no,jun,908,1,1
299,50,unemployed,married,primary,no,705,no,no,jun,504,1,1
300,36,blue-collar,married,secondary,no,1772,no,no,jun,208,1,1
301,59,retired,married,secondary,no,0,no,no,jun,812,1,1
302,59,retired,divorced,primary,no,-88,yes,no,jun,910,2,1
303,47,entrepreneur,married,secondary,no,0,no,no,jun,1446,1,1
304,58,entrepreneur,married,tertiary,no,853,no,no,jun,1149,2,0
305,37,management,single,tertiary,no,240,no,no,jun,1123,1,0
306,46,admin,single,secondary,no,849,yes,no,jun,508,2,1
307,43,blue-collar,single,secondary,no,318,yes,no,jun,736,2,1
308,27,management,single,tertiary,no,703,yes,no,jun,590,3,0
309,38,services,divorced,secondary,no,61,no,no,jun,636,1,1
310,53,housemaid,married,primary,no,104,no,yes,jun,701,1,1
311,47,blue-collar,married,secondary,no,1996,no,no,jun,761,2,1
312,56,housemaid,divorced,primary,yes,1238,no,no,jun,1558,1,1
313,41,housemaid,married,secondary,no,879,no,no,jun,1053,2,1
314,29,self-employed,married,secondary,no,425,yes,no,jun,562,15,1
315,35,self-employed,married,secondary,no,188,yes,yes,jun,1865,2,1
316,38,admin,single,secondary,no,3239,no,no,jun,817,2,1
317,50,technician,married,secondary,no,416,yes,no,jun,494,5,1
318,45,blue-collar,divorced,primary,no,844,no,no,jun,1018,3,1
319,35,blue-collar,married,secondary,no,860,yes,no,jun,884,4,1
320,35,housemaid,single,secondary,no,1015,yes,no,jun,406,2,1
321,39,self-employed,married,tertiary,no,1047,no,no,jun,554,1,0
322,26,technician,single,secondary,no,639,yes,no,jun,709,5,1
323,26,admin,married,secondary,no,710,yes,yes,jun,1276,2,1
324,37,blue-collar,married,unknown,no,1508,no,yes,jun,381,2,1
325,30,admin,single,secondary,no,223,yes,no,jun,862,11,1
326,38,management,single,tertiary,no,619,yes,no,jun,460,4,0
327,28,technician,single,secondary,yes,-1042,yes,no,jun,712,2,1
328,54,self-employed,divorced,primary,no,351,yes,no,jun,642,2,1
329,41,blue-collar,married,primary,no,1461,yes,no,jun,554,2,1
330,37,services,divorced,secondary,no,319,yes,no,jun,467,3,1
331,53,technician,married,secondary,no,480,no,no,jun,648,2,1
332,29,blue-collar,single,primary,no,213,yes,no,jun,2653,3,1
333,35,management,single,tertiary,no,68,no,no,jun,1085,1,0
334,47,admin,divorced,secondary,no,295,yes,no,jun,94,2,1
335,28,blue-collar,married,secondary,no,2788,yes,no,jun,369,2,1
336,36,self-employed,married,secondary,no,1245,yes,no,jun,1469,9,1
337,55,blue-collar,married,unknown,no,7561,no,no,jun,685,3,1
338,49,management,divorced,secondary,no,-46,yes,no,jun,1055,10,1
339,50,services,married,secondary,no,1595,no,no,jun,882,1,1
340,43,management,single,tertiary,no,1046,no,no,jun,901,1,0
341,58,self-employed,divorced,tertiary,no,1382,no,no,jun,700,1,0
342,38,technician,married,primary,no,217,yes,no,jun,491,6,1
343,48,blue-collar,divorced,primary,no,183,no,no,jun,940,1,1
344,59,management,married,secondary,no,1321,no,no,jun,3881,3,1
345,38,technician,divorced,tertiary,no,1805,no,no,jun,952,2,0
346,58,blue-collar,married,secondary,no,25,no,no,jun,486,3,1
347,52,blue-collar,married,secondary,no,-519,yes,no,jun,442,8,1
348,36,self-employed,single,tertiary,no,4844,no,no,jun,1137,3,0
349,42,entrepreneur,married,tertiary,no,5345,no,no,jun,878,3,0
350,41,admin,single,secondary,no,812,no,yes,jun,583,4,1
351,42,admin,married,secondary,no,105,no,no,jun,1159,4,1
352,39,management,married,tertiary,no,-190,no,yes,jun,893,8,0
353,57,housemaid,married,primary,no,625,no,yes,jun,867,1,1
354,51,retired,married,secondary,no,1435,no,no,jun,587,1,1
355,52,retired,married,unknown,no,293,no,no,jun,706,1,1
356,59,retired,married,unknown,no,1033,no,no,jun,1199,1,1
357,56,blue-collar,married,secondary,no,1210,no,no,jun,935,1,1
358,49,management,married,tertiary,no,64,no,no,jun,586,1,0
359,35,blue-collar,divorced,unknown,no,164,no,no,jun,967,2,1
360,36,unemployed,married,secondary,no,1766,no,no,jun,595,2,1
361,40,admin,single,tertiary,no,1248,no,no,jun,1290,2,0
362,37,management,single,tertiary,no,8828,no,no,jun,1010,3,0
363,55,blue-collar,married,secondary,no,0,no,no,jun,614,2,1
364,58,admin,married,secondary,no,826,no,no,jun,885,1,1
365,39,self-employed,married,tertiary,no,2630,no,no,jun,651,5,0
366,47,housemaid,single,tertiary,no,3727,no,no,jun,993,6,0
367,40,management,married,secondary,no,406,yes,no,jun,577,2,1
368,35,blue-collar,married,tertiary,no,2999,no,no,jun,1141,6,0
369,48,blue-collar,married,secondary,no,1000,yes,no,jun,1268,2,1
370,48,management,divorced,tertiary,no,503,no,yes,jun,1243,7,0
371,24,blue-collar,single,secondary,yes,-203,yes,no,jun,465,3,1
372,49,blue-collar,married,primary,no,361,yes,no,jun,513,2,1
373,36,blue-collar,married,secondary,no,274,yes,no,jun,686,11,1
374,52,retired,divorced,tertiary,no,3687,yes,yes,jun,741,4,0
375,38,blue-collar,married,secondary,no,1627,no,no,jun,1323,9,1
376,42,entrepreneur,single,unknown,no,323,no,no,jun,617,1,1
377,36,services,married,secondary,no,981,no,no,jun,1093,1,1
378,36,blue-collar,divorced,secondary,no,638,yes,no,jun,1395,2,1
379,48,unemployed,single,tertiary,no,3229,no,no,jun,1089,1,0
380,51,management,single,secondary,no,1610,yes,no,jun,1248,3,1
381,51,blue-collar,married,secondary,no,33,no,yes,jun,721,3,1
382,46,technician,married,secondary,no,536,yes,no,jun,750,2,1
383,37,management,married,tertiary,no,0,no,no,jun,637,6,0
384,36,entrepreneur,married,tertiary,no,3057,no,no,jun,2769,4,0
385,47,management,married,secondary,no,2892,no,no,jun,556,1,1
386,40,technician,divorced,tertiary,no,0,no,no,jun,522,1,0
387,56,management,divorced,tertiary,no,4266,yes,no,jun,490,4,0
388,38,technician,single,tertiary,no,110,no,no,jun,1051,3,0
389,38,student,single,tertiary,no,3316,no,no,jun,1345,3,0
390,40,management,married,secondary,no,106,no,no,jun,676,2,1
391,39,blue-collar,married,primary,no,2303,yes,no,jun,775,3,1
392,60,management,married,tertiary,no,3301,no,no,jun,2621,3,0
393,51,retired,married,primary,no,67,no,no,jun,835,1,1
394,39,self-employed,single,tertiary,no,426,no,no,jun,1029,1,0
395,51,services,divorced,secondary,no,9,no,no,jun,371,2,1
396,27,admin,married,secondary,no,-97,yes,no,jun,1528,2,1
397,41,management,single,tertiary,no,11008,no,no,jun,1540,1,0
398,42,blue-collar,single,primary,no,4930,no,no,jun,973,1,1
399,35,blue-collar,married,unknown,no,1201,no,no,jun,537,1,1
400,41,entrepreneur,married,secondary,no,707,no,no,jun,707,1,1
401,33,technician,married,secondary,no,4,yes,yes,jun,625,2,1
402,46,admin,married,secondary,no,126,no,no,jun,1255,1,1
403,44,housemaid,single,primary,no,1059,no,no,jun,2093,1,1
404,31,blue-collar,married,secondary,no,671,yes,no,jun,704,4,1
405,51,admin,single,secondary,no,1994,no,no,jun,771,2,1
406,32,management,married,tertiary,no,607,yes,no,jun,1060,5,0
407,41,blue-collar,married,primary,no,219,no,yes,jun,1574,3,1
408,41,blue-collar,divorced,secondary,no,3622,no,no,jun,1135,4,1
409,57,admin,single,secondary,no,5768,yes,no,jun,512,1,1
410,55,retired,divorced,secondary,no,1580,no,yes,jun,1007,1,1
411,53,technician,married,secondary,no,1319,no,no,jun,1318,3,1
412,55,housemaid,married,primary,no,2152,no,no,jun,922,2,1
413,39,services,married,secondary,no,2843,yes,no,jun,585,1,1
414,36,management,married,tertiary,no,1352,no,no,jun,2028,1,0
415,40,entrepreneur,married,tertiary,yes,0,no,no,jun,952,4,0
416,59,retired,married,primary,no,1115,no,no,jun,834,1,1
417,52,retired,divorced,tertiary,no,-309,yes,no,jun,500,2,0
418,42,blue-collar,single,secondary,no,625,no,no,jun,651,3,1
419,45,technician,married,tertiary,no,377,yes,no,jun,835,3,0
420,41,blue-collar,married,primary,no,246,no,no,jun,683,3,1
421,27,blue-collar,married,secondary,no,61,yes,no,jun,1012,1,1
422,25,blue-collar,single,secondary,no,-191,yes,no,jun,958,7,1
423,43,unemployed,married,primary,no,519,no,no,jun,973,2,1
424,60,retired,married,secondary,no,1690,no,no,jun,1467,4,1
425,48,management,married,tertiary,no,5320,yes,no,jun,792,1,0
426,44,services,married,secondary,no,522,no,yes,jun,911,1,1
427,26,blue-collar,single,secondary,no,-46,yes,no,jun,382,7,1
